CNPJ,cliente,UF,cidade,bairro
21390936000146,SUPERMERCADO FLAMEL LTDA - EPP.,ES,SANTA TERESA,DOIS PINHEIROS
39281142000100,SUPERMERCADO POPULAR LTDA - EPP,ES,SANTA TERESA,VILA NOVA
05971368000110,ROBERTO CARLOS PESSIN - ME.,ES,SAO GABRIEL DA PALHA,CENTRO
18750973000103,SUPERMERCADO PESSIN LTDA - ME.,ES,SAO GABRIEL DA PALHA,CENTRO
36398790000152,SUPERMERCADO DE NADAI LTDA.,ES,SAO GABRIEL DA PALHA,CENTRO
36305837000358,SUPERMERCADO CELEIRO LTDA.,ES,SAO MATEUS,GURIRI
04628804000190,COMERCIAL L.C.T. LTDA - EPP.,ES,SAO MATEUS,GURIRI
26364805000108,H PRATA DA SILVA - ME,ES,SAO MATEUS,GURIRI NORTE
36305837000196,SUPERMERCADO CELEIRO LTDA,ES,SAO MATEUS,SANTO ANTONIO
35956606000180,MARINA MELLO NUNES - ME,ES,SERRA,CONJ HELIO FERRAZ
17236817000166,KALU SHOW GRILL COMERCIO DE CARNES E VARIEDADES EIRELI - ME,ES,SERRA,JARDIM ATLANTICO
04620892000184,COMPANHIA DO BOI COMERCIO DE CARNES EIRELI,ES,SERRA,JARDIM LIMOEIRO
07715453000224,ELIONALDO DO GOULART DAS NEVES EPP,ES,SERRA,NOVA ALMEIDA CENTRO
11068482000138,E C V AUGUSTO MERCEARIA - ME,ES,SERRA,SERRAMAR
24616223000146,SUPERMERCADO VENETTO EIRELI,ES,VIANA,MARCILIO DE NORONHA
05466796000196,SUPERMERCADO MARETTO EIRELLI - EPP.,ES,VIANA,MARCILIO DE NORONHA
26098410000100,AUTO SERVICO CASA SHOW LTDA - ME,ES,VIANA,UNIVERSAL
04630798000106,SUPERMERCADO GARBOS LTDA - ME,ES,VILA VELHA,ARACAS
24652921000105,AUTO SERVICO FERNANDES SIQUEIRA EIRELI ME,ES,VILA VELHA,CRISTOVAO COLOMBO
23529918000128,COMERCIAL DE ALIMENTOS CANAL EIRELI - ME,ES,VILA VELHA,IBES
08929445000162,ECOREAL SUPERMERCADOS LTDA - ME,ES,VILA VELHA,TERRA VERMELHA
26616381000121,HORTIFRUTIGRANJEIROS FASSARELLA & ROGGE LTDA - ME.,ES,VILA VELHA,VALE ENCANTADO
11857211000161,HORTI FRUTIX JARDIM CAMBURI EIRELI - ME,ES,VITORIA,JARDIM CAMBURI
12703414000166,DRIELLI GONCALVES PEREIRA - ME,ES,VITORIA,ROMAO
39361142000110,COMERCIAL GIMAR LTDA,ES,VITORIA,VILA RUBIM
02101672000119,COMERCIAL LESTE MINAS LTDA,MG,AIMORES,CENTRO
28390961000179,COMERCIAL DE CEREAIS GUANDUENSE LTDA,MG,AIMORES,CENTRO
04371905000129,COMERCIAL JOAO LUIZ FRIZZERA LTDA,MG,AIMORES,CENTRO
17359233000188,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S/A,MG,CONTAGEM,TAPERA
08505159000170,MERCEARIA SILVEIRA EUGENOPOLIS LTDA,MG,EUGENOPOLIS,CENTRO
10598245000116,MEGA BARRA SUPERMERCADOS LTDA - ME,MG,MURIAE,BARRA
66212721000173,ESCOBAR GOMES DE SOUZA FILHO,MG,MURIAE,BARRA
07070684000228,LEPAGUS COMERCIO DE CEREAIS LTDA.,MG,MURIAE,CENTRO
13002242000166,COMERCIAL PEREIRAO LTDA.,MG,MURIAE,DORNELAS
07070684000147,LEPAGUS COMERCIO DE CEREAIS LTDA.,MG,MURIAE,PORTO
22745194000197,SUPERMERCADO SAO LOURENCO DE MURIAE LTDA,MG,MURIAE,SAFIRA
20818209000417,SUPERMERCADO VANIA LTDA - EPP,MG,RESPLENDOR,CENTRO
07464058000135,SUPERMERCADO SILVA LTDA.,MG,RESPLENDOR,N. SRA. DE FATIMA
17190802000104,COMERCIAL MEDEIROS LTDA - ME,MG,RESPLENDOR,NOSSA SENHORA DE FATIMA
20818209000174,SUPERMERCADO VANIA LTDA - EPP,MG,RESPLENDOR,SAO VICENTE
02165530000115,R P COMERCIO VAREJISTA LTDA - ME,PA,PARAUAPEBAS,CIDADE NOVA
10258873000233,SOLUCAO INGREDIENTES INDUSTRIAIS LTDA ME,PR,CURITIBA,CAMPO COMPRIDO
73237570000173,J D MINI MERCADO CAMORIM LTDA,RJ,ANGRA DOS REIS,CAMORIM GRANDE
00814123000166,FERSANPLASTI COMERCIO DE EMBALAGENS LTDA,RJ,ANGRA DOS REIS,CENTRO
32058729000105,MINI MERCADO ESPERANCA DO VILLAGE LTDA ME,RJ,ANGRA DOS REIS,JACUECANGA
72155534000106,P M LUCAS MERCEARIA LTDA ME,RJ,ANGRA DOS REIS,JACUECANGA
12427914000112,MAVA DISTRIBUIDORA DE FRIOS LTDA,RJ,ANGRA DOS REIS,PARQUE DAS PALMEIRAS
09309021000168,NF-E EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,RJ,ANGRA DOS REIS,VILA NOVA DE CAMPOS
10575417000136,SUPERMERCADO LUCAS FORTE LTDA ME,RJ,ANGRA DOS REIS,VILLAGE
02898691000118,SUPERMERCADO OLIVEIRA LTDA ME,RJ,APERIBE,CENTRO
12899412000194,ORIENTE COMERCIO DE GENEROS ALIMENTICIOS EIRELI,RJ,ARARUAMA,AREAL
27995546000186,AC CUSTODIO FILHO COMERCIO - ME,RJ,ARARUAMA,BURACO DO PAU
08450282000726,DISTRIBUIDORA DE PRODUTOS ASA BRANCA LTDA,RJ,ARARUAMA,CENTRO
39245592000147,ARARA DE ARARUAMA COMERCIO DE GENEROS ALIMENTICIOS LTDA,RJ,ARARUAMA,CENTRO
10438370001050,COMPRE MAIS AUTO SERVICO LTDA,RJ,ARARUAMA,CENTRO
03542276000190,CELMAPEL COMERCIO DE EMBALAGENS LTDA ME,RJ,ARARUAMA,CENTRO
29840154000173,LATICINIO BOA ESPERANCA DE ARARUAMA,RJ,ARARUAMA,CENTRO
27833615002875,PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA..,RJ,ARARUAMA,CENTRO
20259672000123,ROBLEO COMERCIO DE PRODUTOS E GENEROS ALIMENTICIOS LTDA-EPP.,RJ,ARARUAMA,CENTRO
28514600000197,A M C FELIX COMERCIO DE GENEROS ALIMENTICIOS - ME,RJ,ARARUAMA,CENTRO
09642314000162,TOP GREEN FRUIT HORTIFRUITGRANJEIROS LTDA,RJ,ARARUAMA,CENTRO
21380625000104,SUPERMERCADO JAL EIRELI ME,RJ,ARARUAMA,ENGENHO VELHO
11761060000143,FIDELIS DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,RJ,ARARUAMA,IGUABINHA
25053220000104,E H DA CUNHA MINIMERCADOS EIRELI ME,RJ,ARARUAMA,JAPAO
05054332000172,NOVA ESPERANCA DE ARARUAMA LTDA EPP,RJ,ARARUAMA,MATARUNA
09432668000182,TALINSK DE MELLO COM DE CEREAIS LTDA ME.,RJ,ARARUAMA,OUTEIRO
11631749000234,ARTHUR D'MELLO SUPERMERCADO LTDA,RJ,ARARUAMA,OUTEIRO
18183953000106,MERCADAO DOS QUIOSQUES LTDA-ME,RJ,ARARUAMA,PARATY
19068286000175,Z J N SUPERMERCADO LTDA,RJ,ARARUAMA,PARATY
23615208000110,ASA BLUE MINI MERCADO E MERCEARIA EIRELI,RJ,ARARUAMA,PARATY
26298958000102,M P LAGOS ATACADO E DISTRIBUIDOR DE ALIMENTOS LTDA,RJ,ARARUAMA,PENHA
07615641000108,FREIRES DE MELLO COMERCIO DE PRODUTOS ALIMEN LTDA,RJ,ARARUAMA,RIO DO LIMAO
11631749000315,ARTHUR DMELLO SUPERMERCADO LTDA,RJ,ARARUAMA,RIO DO LIMAO
05256321000175,JONAI COMERCIAL LTDA.,RJ,ARARUAMA,SAO VICENTE DE PAULA
10600073000178,IMPACTO MASSAS E GENEROS ALIMENTICIOS LTDA,RJ,ARARUAMA,VILA CANAA
06953093000236,M J M COMERCIO DE GENEROS ALIMENTICIOS LTDA,RJ,ARARUAMA,VILA CAPRI
24793400000160,VAREJO TOTAL COMERCIO DE GENEROS ALIMENTICIOS LTDA,RJ,ARARUAMA,VILA CAPRI
27050947000678,SUPERMERCADO ECONOMICO DE CABO FRIO LTDA,RJ,ARARUAMA,VILA CAPRI
19137307000167,MINI MERCADO DIANO EIRELI,RJ,ARMACAO DOS BUZIOS,ALTO DA RAZA
12365033000114,C.K.MAYER IMPORTACAO,RJ,ARMACAO DOS BUZIOS,CENTRO
27103140000141,ANDRADE E MEIRA PANIFICADORA LTDA - ME,RJ,ARMACAO DOS BUZIOS,CENTRO
20432939000132,TOPAZIO ALIMENTOS LTDA ME.,RJ,ARMACAO DOS BUZIOS,CENTRO
27050947000597,SUPERMERCADO ECONOMICO DE CABO FRIO LTDA,RJ,ARMACAO DOS BUZIOS,CENTRO
07970113000169,SO OFERTAS BUZIOS SUPERMERCADOS LTDA,RJ,ARMACAO DOS BUZIOS,MANGUINHOS
23956228000155,KOLENDA KUNXHIU E CHACON RESTAURANTE LTDA,RJ,ARMACAO DOS BUZIOS,MANGUINHOS
27833615003251,PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA,RJ,ARMACAO DOS BUZIOS,MANGUINHOS
27833615001984,PRINCESA AUTO SERV DE COMESTIVEIS LTDA.,RJ,ARMACAO DOS BUZIOS,MANGUINHOS
27833615001208,PRINCESA AUTO SERV DE COMESTIVEIS LTDA,RJ,ARMACAO DOS BUZIOS,MANGUINHOS
14568548000732,CLASSICO COMERCIO DE ALIMENTOS LTDA,RJ,ARMACAO DOS BUZIOS,RASA
19426440000133,R SILVA MINIMERCADO EIRELLI,RJ,ARMACAO DOS BUZIOS,RASA
12865202000185,C N G COMERCIO VAREJISTA DE PROD ALIM LTDA,RJ,ARMACAO DOS BUZIOS,SEM BRACAS
01448324000150,M J COMERCIO DE GENEROS ALIMENTICIOS LTDA,RJ,ARRAIAL DO CABO,CENTRO
28295152000188,ACOUGUE CABISTA LTDA,RJ,ARRAIAL DO CABO,CENTRO
27833615001399,PRINCESA AUTO SERV DE COMESTIVEIS LTDA,RJ,ARRAIAL DO CABO,CENTRO
27833615002107,PRINCESA AUTO SERV DE COMESTIVEIS LTDA,RJ,ARRAIAL DO CABO,CENTRO
26164948000176,BARCELLOS E SANTOS COMERCIO DE PRODUTOS ALIMENTICIO EIRELI,RJ,ARRAIAL DO CABO,FIGUEIRA
04580896000186,KIST E SILVA COMERCIO LTDA,RJ,ARRAIAL DO CABO,FIGUEIRA
27833615003170,PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA,RJ,ARRAIAL DO CABO,PRAIA DOS ANJOS
28076453000110,MERCADO PLANALTO DO BOM PASTOR LTDA ME - ME,RJ,BELFORD ROXO,BOM PASTOR
01466610000148,MERCEARIA TATI DE BELFOD LTDA -ME,RJ,BELFORD ROXO,PARQUE ESPERANCA
10356337000190,MERCEARIA MAGICA DE SANTA MARIA LTDA - ME,RJ,BELFORD ROXO,SANTA MARIA
03176931000133,NAHIDE MERCEARIA LTDA,RJ,BELFORD ROXO,VIA PAULINA
22753943000128,MV MERCEARIA E CONFEITARIA LTDA - ME.,RJ,BELFORD ROXO,VILA LUZ
02075715000139,CASA NATHALIA DAS CARNES LTDA - ME,RJ,BELFORD ROXO,VILAR NOVO
05229674000186,MERCADO SUPREMO DE SAO MIGUEL LTDA,RJ,BOM JARDIM,SAO MIGUEL
29113842000131,ORGANIZACOES BORGES LTDA,RJ,BOM JESUS DO ITABAPOANA,CENTRO
29113842000646,ORGANIZACOES BORGES LTDA.,RJ,BOM JESUS DO ITABAPOANA,LIA MARCIA
32336794001208,SUPERMERCADO FLUMINENSE DE ITAPERUNA LTDA,RJ,BOM JESUS DO ITABAPOANA,PIMENTEL MARQUES
10254507000125,ADRIANA F GONCALVES PADARIA ME,RJ,CABO FRIO,AQUARIOS
18459162000158,LUAR SUPERMERCADO COMERCIO DE ALIMENTOS LTDA ME,RJ,CABO FRIO,AQUARIUS
13051981000148,SUPERMERCADO BARCELOS LTDA,RJ,CABO FRIO,AQUARIUS
18374709000201,SOLAR SUPERMERCADO COMERCIO DE ALIMENTOS LTDA - ME,RJ,CABO FRIO,AQUARIUS (TAMOIOS)
28314669000177,MERCADO CARIOQUEIRO EIRELI,RJ,CABO FRIO,AQUARIUS (TAMOIOS)
10335385000100,R S ADOLPHO MERCADO E ACOUGUE,RJ,CABO FRIO,CELULA MATER
02084223000100,SO OFERTAS COMERCIO DE GENEROS ALIMENTICIOS LTDA,RJ,CABO FRIO,CENTRO
27833615001801,PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA,RJ,CABO FRIO,CENTRO
27833615002603,PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA,RJ,CABO FRIO,CENTRO
12434859000198,DISTRIBUIDORA DE ALIMENTOS QUEIROZ LTDA,RJ,CABO FRIO,CENTRO
27050947000163,SUPERMERCADO ECONOMICO DE CABO FRIO LTDA,RJ,CABO FRIO,CENTRO
02616090000175,MAX ONE SUPERMERCADO LTDA,RJ,CABO FRIO,JACARE
27849764000102,HORTIFRUTI CABO FRIO LTDA - EPP,RJ,CABO FRIO,JACARE
04129887000173,N G A MERCADO LTDA - EPP.,RJ,CABO FRIO,JARDIM ESPERANCA
17461628000197,GA ABREU MERCEARIA.,RJ,CABO FRIO,JARDIM ESPERANCA
05486954000170,LE MARCHE ALIMENTOS LTDA,RJ,CABO FRIO,JARDIM ESPERANCA
08689466000239,CASA BARROS ALIMENTOS EIRELI,RJ,CABO FRIO,JARDIM ESPERANCA
08689466000158,M F M BARROS GENEROS ALIMENTICIOS,RJ,CABO FRIO,JARDIM ESPERANCA
08656302000124,BIG FILD ALIMENTOS LTDA,RJ,CABO FRIO,JARDIM ESPERANCA
19897866000175,FRUTAS COMERCIO ATACADISTA E VAREJO EIRELI - ME,RJ,CABO FRIO,JARDIM FLAMBOYANT
27833615002522,PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA,RJ,CABO FRIO,JARDIM OLINDA
13537908000261,MERCADO E PADARIA L M LOUZADA LTDA,RJ,CABO FRIO,JARDIM PERO
13911878000120,ELENILDA REGINA MARINS GUIMARAES MERCEARIA ME.,RJ,CABO FRIO,MARIA JOAQUINA
18538019000151,CARDOSO E COSTA DISTRIBUIDORA LTDA,RJ,CABO FRIO,PARQUE BURLE
14304366000169,MERCADO E PADARIA J J PONTES LTDA EPP,RJ,CABO FRIO,PARQUE BURLE
07539322000152,GREEN FRUIT NOVO MILENIO HORTIFRUTIGRANJEIROS LTDA,RJ,CABO FRIO,PARQUE RIVIERA
19394731000197,JOSIVAN S DA SILVA PRODUTO ALIMENTICIOS ME.,RJ,CABO FRIO,PERO
18459162000239,LUAR SUPERMERCADO COMERCIO DE ALIMENTOS LTDA-ME,RJ,CABO FRIO,SAMBURA TAMOIOS
28843225000129,SUPERMERCADO IRMAOS LTDA,RJ,CABO FRIO,SAO CRISTOVAO
11714688000198,V V MENEZES MERCADO LTDA,RJ,CABO FRIO,SAO CRISTOVAO
04157214000127,EL SHADAY MERCADO  ACOUGUE E RESTAURANTE LTDA - ME.,RJ,CABO FRIO,SAO CRISTOVAO
12769662000100,DISTRIBUIDORA E COMERCIO DE FRIOS CABO FRIO TROPICAL LTDA,RJ,CABO FRIO,SAO CRISTOVAO
13404646000186,E P FILHO COM E DISTRIBUICAO DE CARNES E PRODUTOS ALIM LTDA,RJ,CABO FRIO,SAO CRISTOVAO
26770002000153,MERCADO NV GUIMARAES LTDA - EPP,RJ,CABO FRIO,SAO CRISTOVAO
12434859000350,DISTRIBUIDORA DE ALIMENTOS QUEIROZ LTDA,RJ,CABO FRIO,SAO CRISTOVAO
15111611000184,III CONCORDIA COMER E DISTRIBUICAO DE GENEROS ALIMENTICIOS L,RJ,CABO FRIO,TANGARA
19657976000160,RENDE PACAS COMERCIO DE ALIMENTOS LTDA ME,RJ,CABO FRIO,UNAMAR
08626481000157,SUPERABRA REDE DISTRIBUIDORA DE ALIMENTOS LTDA - ME,RJ,CABO FRIO,UNAMAR
11032546000140,M & F SUPERMERCADO E TRANSPORTE LTDA - ME,RJ,CABO FRIO,UNAMAR
09097655000102,DUSCH COMERCIO DE PRODUTOS ALIMENTICIOS LTDA - ME,RJ,CABO FRIO,UNAMAR
27807563000142,ANTONIO G AGOSTINHO DOS SANTOS MERCEARIA E ACOUGUE - ME,RJ,CABO FRIO,UNAMAR (TAMOIOS)
14803772000257,W P MERCADO E PADARIA LTDA - ME,RJ,CABO FRIO,UNAMAR (TAMOIOS)
28861978000167,CMS MERCADO DAS FRUTAS E LEGUMES LTDA - EPP,RJ,CABO FRIO,VILA NOVA
28882587000129,MERCEARIA VIDAL LTDA.,RJ,CACHOEIRAS DE MACACU,JAPUIBA
07676699000153,MERCEARIA ECONOMAIS LTDA.,RJ,CACHOEIRAS DE MACACU,PARQUE SANTA LUIZA
32120263000120,ARMAZEM DEFANTI E VELASCO LTDA ME,RJ,CAMBUCI,CENTRO
05901292000157,UNICAM DE CAMBUCI GENEROS ALIMENTICIOS LTDA ME,RJ,CAMBUCI,FLORESTA
08648358000137,CELSO C MANHAES,RJ,CAMPOS DOS GOYTACAZES,CENTRO
27024494000109,G DE S INDUSTRIA DE MASSAS LTDA - ME,RJ,CAMPOS DOS GOYTACAZES,CENTRO
10834199000298,HORTIFRUTI QUITANDINHA LTDA,RJ,CAMPOS DOS GOYTACAZES,CENTRO
15872124000134,K. R. M. SOBRINHO COMERCIO EIRELI,RJ,CAMPOS DOS GOYTACAZES,CUSTODOPOLIS
27456707000163,J. A. DE OLIVEIRA PRODUTOS ALIMENTICIOS - ME,RJ,CAMPOS DOS GOYTACAZES,DONANA
10393316000144,ABREU SUPERMERCADO LTDA,RJ,CAMPOS DOS GOYTACAZES,IPS
04795044000106,SORETO MERCEARIA LTDA,RJ,CAMPOS DOS GOYTACAZES,PARQUE ALVORADA
12465011000126,CGM ALIMENTOS LTDA EPP,RJ,CAMPOS DOS GOYTACAZES,PARQUE AURORA
26061062000105,L G H EMPREENDIMENTOS COMERCIAIS EIRELI ME,RJ,CAMPOS DOS GOYTACAZES,PARQUE CORRIENTES
08343578000152,LUMIAR DE CAMPOS COMERCIAL DE ALIMENTOS LTDA - ME,RJ,CAMPOS DOS GOYTACAZES,PARQUE ELDORADO
08343578000233,LUMIAR DE CAMPOS COMERCIAL DE ALIMENTOS LTDA,RJ,CAMPOS DOS GOYTACAZES,PARQUE LEBRET
10199766000109,VANUSA TAVARES DE OLIVEIRA-ME,RJ,CAMPOS DOS GOYTACAZES,PARQUE ROSARIO
13405890000163,THOMESKAMP HORTIFRUTI LTDA ME,RJ,CAMPOS DOS GOYTACAZES,PARUQE JOAO MARIA
07577743000178,RANGEL E HENRIQUES COMERCIO DE GENEROS ALIMENTICIOS LTDA,RJ,CAMPOS DOS GOYTACAZES,PQE CORRIENTES
00803210000118,MARCELAO INDUSTRIA E COMERCIO DE CEREAIS LTDA,RJ,CASIMIRO DE ABREU,CENTRO
08109307000137,SANFRA COMERCIO E DISTRIBUIDORA LTDA,RJ,CASIMIRO DE ABREU,CENTRO
27833615002018,PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA,RJ,CASIMIRO DE ABREU,CENTRO
08145755000196,RODRIGUES E FELIX COMERCIO DE CEREAIS LTDA EPP.,RJ,CONCEICAO DE MACABU,CENTRO
01190829000167,SUPERMERCADO CALIL DE CONCEICAO DE MACABU LTDA.,RJ,CONCEICAO DE MACABU,PARAISO
01190829000248,SUPERMERCADO CALIL DE CONCEICAO DE MACABU LTDA,RJ,CONCEICAO DE MACABU,VILA SAO JOSE
12803217000119,MERCEARIA CENTRAL DO AMAPA LTDA - ME,RJ,DUQUE DE CAXIAS,AMAPA
24478068000149,ACOUGUE E MERCEARIA BIFAO 2016 EIRELI,RJ,DUQUE DE CAXIAS,CAMPOS ELISEOS
36460970000389,LUANE DO PARQUE COLUMBIA MERCADO LTDA,RJ,DUQUE DE CAXIAS,CHACARAS ARCAMPO
11345696000104,ACOUGUE & AVIARIO REBECA OLIVEIRA LTDA ME,RJ,DUQUE DE CAXIAS,ILA SANTA CRUZ
05494918000158,MATA ATLANTICA MERCADO LTDA - EPP.,RJ,DUQUE DE CAXIAS,IMBARIE
21786968000165,MERCADO POPULAR DO JARDIM ANHANGA EIRELI,RJ,DUQUE DE CAXIAS,JARDIM ANHANGA
20657396000151,MERCADO CASTANHA LTDA,RJ,DUQUE DE CAXIAS,JARDIM BALNEARIO ANA CLARA
33009911025395,SOUZA CRUZ LTDA,RJ,DUQUE DE CAXIAS,JARDIM GRAMACHO
27742988000200,SUPERMERCADOS TAKY EIRELI,RJ,DUQUE DE CAXIAS,JARDIM GRAMACHO
09612750000199,PADARIA E MERCEARIA G&J LTDA - M,RJ,DUQUE DE CAXIAS,JARDIM IMBARIE
08055326000128,FILE DE JARDIM PRIMAVERA MERCEARIA LTDA,RJ,DUQUE DE CAXIAS,JARDIM PRIMAVERA/CAMPOS ELISEOS
13459058000140,MERCEARIA ESTRELA DA PRIMAVERA LTDA EPP,RJ,DUQUE DE CAXIAS,JARDIM SANTANA DO PILAR
20712456000191,CITY CARNES 25 DE AGOSTO MERCEARIA E LANCHONETE LTDA EPP,RJ,DUQUE DE CAXIAS,JARDIM VINTE E CINCO DE AGOSTO
28094587000164,MINIMERCADO TEM TUDO SABARA LTDA,RJ,DUQUE DE CAXIAS,JARFIM PRIMAVERA
00334392000206,MERCADO REAL DE NOVA CAMPINAS LTDA - ME,RJ,DUQUE DE CAXIAS,NOVA CAMPINAS
01829249000177,CEREAIS MARREQUINHO DE NOVA CAMPINAS LTDA.,RJ,DUQUE DE CAXIAS,NOVA CAMPINAS
