CNPJ,preco,cliente,UF,cidade,bairro
30575476000111,765.0,SUPERMERCADO PRECO CERTO.,ES,COLATINA,CENTRO
28108298000177,788.51,311 HAMILTON IMPORTACAO E EXPORTACAO EIRELI - ME,RJ,RIO BONITO,BELA VISTA
21360690000160,792.87,HORTIFRUTI CENTRAL DE SANTA CRUZ EIRELI,RJ,RIO DE JANEIRO,SANTA CRUZ
8648358000137,793.4,CELSO C MANHAES,RJ,CAMPOS DOS GOYTACAZES,CENTRO
22328529000171,793.9499999999998,MERCADO BRASAO 2014 EIRELI - ME,RJ,NOVA IGUACU,ALTO DA POSSE
24283816000138,805.3200000000003,MERCEARIA M. D. DA SILVA LTDA - ME,ES,PIUMA,CENTRO
2275470000193,810.0,SUPERMERCADO ICONHA EIRELI,ES,ICONHA,CENTRO
1466610000148,813.2300000000001,MERCEARIA TATI DE BELFOD LTDA -ME,RJ,BELFORD ROXO,PARQUE ESPERANCA
8722117000190,825.0,BRAZILCOA COMERCIO E SERVICOS DE PRODUTOS ALIMENTICIOS LTDA,SP,INDAIATUBA,DIST IND AMERICAN PARK
28241123000486,828.7299999999999,J RAMOS & FILHOS LTDA,RJ,MIRACEMA,CENTRO
24652921000105,831.08,AUTO SERVICO FERNANDES SIQUEIRA EIRELI ME,ES,VILA VELHA,CRISTOVAO COLOMBO
29618089000306,848.6500000000001,COOPERATIVA AGRO PECUARIA DE ITAOCARA LTDA,RJ,ITAOCARA,CENTRO
7904735000199,851.2,JC DE SOUZA FRANCA,RJ,SAO JOAO DA BARRA,GRUSSAI
1023162000108,853.4,MERCEARIA CIDADE DAS AGUAS LTDA - ME,RJ,SANTO ANTONIO DE PADUA,CENTRO
4445927000196,855.0,RMOURA COMERCIO DE CEREAIS LTDA,SP,SAO PAULO,BRAS
26616381000121,857.9599999999998,HORTIFRUTIGRANJEIROS FASSARELLA & ROGGE LTDA - ME.,ES,VILA VELHA,VALE ENCANTADO
30666051000118,860.6999999999999,IRMAOS FRAGOSO E CIA LTDA EPP,RJ,MACAE,PARQUE AEROPORTO
