cod,descricao
030123,MOLHO DE  PIMENTA  BIQUINHO  CREMOSO 150ML  CX 24 UNID
030124,KETCHUP  TRADICIONAL  200G CX 24 UNID
000004,CONSERVAS
040001,AZEITE DE DENDE  150ML
040002,PIMENTA  MALAGUETA (CON.  VERDE) 50G
040003,PIMENTA  MALAGUETA (CON.  VERM) 50G
040004,MIX DE PIMENTAS  170GR
040005,PIMENTA  BIQUINHO 150GR
040006,PIMENTA DEDO DE  MOCA 130GR
040007,PIMENTA CUMARI  DO PARA 180GR
040008,PIMENTA  MALAGUETA  CURTIDA 180GR
040009,PIMENTA  MALAGUETA  CURTIDA  VERMELHA 900ML
040010,PIMENTA  MALAGUETA  CURTIDA VERDE  900ML
040014,AZEITE DE DENDE  150ML CX 24 UNID
040015,PIMENTA  MALAGUETA (CON.  VERDE) 50G FD 24  UNID
040016,PIMENTA  MALAGUETA (CON.  VERM) 50G FD 24  UNID
040017,MIX DE PIMENTAS  170GR CX 24 UNID
040018,PIMENTA  BIQUINHO 150GR  CX 24 UNID
040019,PIMENTA DEDO DE  MOCA 130GR CX  24 UNID
040020,PIMENTA CUMARI  DO PARA 180GR  CX 24 UNID
040021,PIMENTA  MALAGUETA  CURTIDA 180GR  CX 24 UNID
040024,AZEITE DE DENDÊ  1.010KG
000005,INSTITUCIONAL
050001,ACAFRAO 500GR
050002,ALECRIM 500GR
050003,ALFAVACA 500GR
050004,ALHO FRITO  TEMPERADO  (PACOTE) 500GR
050005,ALHO PICADINHO  C/ERVAS FINAS  1.010KG
050007,AMIDO DE MILHO  1.010KG
050008,BICARBONATO DE  SODIO 500GR
050009,CALDO DE BACON  C/ERVAS FINAS  1.010KG
050010,CALDO DE  CAMARAO  C/ERVAS FINAS  1.010KG
050011,CALDO DE CARNE  C/ERVAS FINAS  1.010KG
050012,CALDO DE  GALINHA C/ERVAS  FINAS 1.010KG
050013,CALDO DE PEIXE  C/ERVAS FINAS  1.010KG
050022,CANELA EM CASCA  500GR
050023,CANELA EM PO  PURA 500GR
050024,CEBOLINHA VERDE  DESIDRATADA  500GR
050025,CHIMI CHURRI  500GR
050026,CONFEITO  CHOCOLATE  GRANULADO 500GR
050027,COENTRO  DESIDRATADO  500GR
050028,COENTRO MOIDO  500GR
050029,COLORIFICO  EXTRA 1KG
050030,COLORIFICO  PRATICO S/SAL  1KG
050031,COMINHO MOIDO  PURO 500GR
050032,CRAVO DA INDIA  500GR
050033,ALHO E SAL  1.010KG
050034,CEBOLA EM PO 1KG
050035,CREME P/PAO DE  ALHO 1.010KG
050036,CURRY 500GR
